Start,Finish,Count,Bitmask,SignificantBitmask,IsMilitary,CountryISO2
000000,7FFFFF,8388608,000000,800000,0,ZZ
004000,0043FF,1024,004000,FFFC00,0,ZW
006000,006FFF,4096,006000,FFF000,0,MZ
008000,00FFFF,32768,008000,FF8000,0,ZA
010000,017FFF,32768,010000,FF8000,0,EG
010070,01007F,16,010070,FFFFF0,1,EG
010070,010071,2,010070,FFFFFE,0,EG
010080,01008F,16,010080,FFFFF0,1,EG
01008E,01008F,2,01008E,FFFFFE,0,EG
01012C,01012C,1,01012C,FFFFFF,1,EG
010178,010178,1,010178,FFFFFF,1,EG
018000,01FFFF,32768,018000,FF8000,0,LY
0183EB,0183EB,1,0183EB,FFFFFF,1,LY
020000,027FFF,32768,020000,FF8000,0,MA
020031,020031,1,020031,FFFFFF,1,MA
020037,020037,1,020037,FFFFFF,1,MA
020038,020038,1,020038,FFFFFF,1,MA
020039,020039,1,020039,FFFFFF,1,MA
02003A,02003A,1,02003A,FFFFFF,1,MA
02003B,02003B,1,02003B,FFFFFF,1,MA
02003C,02003C,1,02003C,FFFFFF,1,MA
02003E,02003E,1,02003E,FFFFFF,1,MA
020041,020041,1,020041,FFFFFF,1,MA
020046,020046,1,020046,FFFFFF,1,MA
02004B,02004B,1,02004B,FFFFFF,1,MA
02004C,02004C,1,02004C,FFFFFF,1,MA
02004D,02004D,1,02004D,FFFFFF,1,MA
02004E,02004E,1,02004E,FFFFFF,1,MA
02005D,02005D,1,02005D,FFFFFF,1,MA
02005E,02005E,1,02005E,FFFFFF,1,MA
0200A0,0200A0,1,0200A0,FFFFFF,1,MA
0200A2,0200A2,1,0200A2,FFFFFF,1,MA
0200A3,0200A3,1,0200A3,FFFFFF,1,MA
0200A5,0200A5,1,0200A5,FFFFFF,1,MA
0200A8,0200A8,1,0200A8,FFFFFF,1,MA
0200AB,0200AB,1,0200AB,FFFFFF,1,MA
0200AC,0200AC,1,0200AC,FFFFFF,1,MA
0200B0,0200BF,16,0200B0,FFFFF0,1,MA
0200C0,0200C7,8,0200C0,FFFFF8,1,MA
0200C9,0200C9,1,0200C9,FFFFFF,1,MA
0200CC,0200CC,1,0200CC,FFFFFF,1,MA
028000,02FFFF,32768,028000,FF8000,0,TN
02B261,02B261,1,02B261,FFFFFF,1,TN
030000,0303FF,1024,030000,FFFC00,0,BW
030012,030012,1,030012,FFFFFF,1,BW
03001A,03001A,1,03001A,FFFFFF,1,BW
032000,032FFF,4096,032000,FFF000,0,BI
034000,034FFF,4096,034000,FFF000,0,CM
034443,034443,1,034443,FFFFFF,1,CM
034445,034445,1,034445,FFFFFF,1,CM
035000,0353FF,1024,035000,FFFC00,0,KM
036000,036FFF,4096,036000,FFF000,0,CG
038000,038FFF,4096,038000,FFF000,0,CI
03E000,03EFFF,4096,03E000,FFF000,0,GA
040000,040FFF,4096,040000,FFF000,0,ET
042000,042FFF,4096,042000,FFF000,0,GQ
044000,044FFF,4096,044000,FFF000,0,GH
046000,046FFF,4096,046000,FFF000,0,GN
048000,0483FF,1024,048000,FFFC00,0,GW
04A000,04A3FF,1024,04A000,FFFC00,0,LS
04C000,04CFFF,4096,04C000,FFF000,0,KE
050000,050FFF,4096,050000,FFF000,0,LR
054000,054FFF,4096,054000,FFF000,0,MG
058000,058FFF,4096,058000,FFF000,0,MW
05A000,05A3FF,1024,05A000,FFFC00,0,MV
05C000,05CFFF,4096,05C000,FFF000,0,ML
05E000,05E3FF,1024,05E000,FFFC00,0,MR
060000,0603FF,1024,060000,FFFC00,0,MU
062000,062FFF,4096,062000,FFF000,0,NE
064000,064FFF,4096,064000,FFF000,0,NG
064051,064051,1,064051,FFFFFF,1,NG
0640F0,0640F0,1,0640F0,FFFFFF,1,NG
0640F1,0640F1,1,0640F1,FFFFFF,1,NG
0640F2,0640F2,1,0640F2,FFFFFF,1,NG
068000,068FFF,4096,068000,FFF000,0,UG
06A000,06A3FF,1024,06A000,FFFC00,0,QA
06A0D9,06A0D9,1,06A0D9,FFFFFF,1,QA
06A0DA,06A0DA,1,06A0DA,FFFFFF,1,QA
06A248,06A248,1,06A248,FFFFFF,1,QA
06A249,06A249,1,06A249,FFFFFF,1,QA
06A24A,06A24A,1,06A24A,FFFFFF,1,QA
06A24B,06A24B,1,06A24B,FFFFFF,1,QA
06A24C,06A24C,1,06A24C,FFFFFF,1,QA
06A24D,06A24D,1,06A24D,FFFFFF,1,QA
06A255,06A255,1,06A255,FFFFFF,1,QA
06A256,06A256,1,06A256,FFFFFF,1,QA
06C000,06CFFF,4096,06C000,FFF000,0,CF
06E000,06EFFF,4096,06E000,FFF000,0,RW
070000,070FFF,4096,070000,FFF000,0,SN
074000,0743FF,1024,074000,FFFC00,0,SC
076000,0763FF,1024,076000,FFFC00,0,SL
078000,078FFF,4096,078000,FFF000,0,SO
07A000,07A3FF,1024,07A000,FFFC00,0,SZ
07C000,07CFFF,4096,07C000,FFF000,0,SD
080000,080FFF,4096,080000,FFF000,0,TZ
084000,084FFF,4096,084000,FFF000,0,TD
084003,084003,1,084003,FFFFFF,1,TD
088000,088FFF,4096,088000,FFF000,0,TG
08A000,08AFFF,4096,08A000,FFF000,0,ZM
08C000,08CFFF,4096,08C000,FFF000,0,CD
090000,090FFF,4096,090000,FFF000,0,AO
094000,0943FF,1024,094000,FFFC00,0,BJ
096000,0963FF,1024,096000,FFFC00,0,CV
098000,0983FF,1024,098000,FFFC00,0,DJ
09A000,09AFFF,4096,09A000,FFF000,0,GM
09C000,09CFFF,4096,09C000,FFF000,0,BF
09E000,09E3FF,1024,09E000,FFFC00,0,ST
0A0000,0A7FFF,32768,0A0000,FF8000,0,DZ
0A4000,0A4FFF,4096,0A4000,FFF000,1,DZ
0A8000,0A8FFF,4096,0A8000,FFF000,0,BS
0A8021,0A8021,1,0A8021,FFFFFF,1,BS
0AA000,0AA3FF,1024,0AA000,FFFC00,0,BB
0AB000,0AB3FF,1024,0AB000,FFFC00,0,BZ
0AC000,0ACFFF,4096,0AC000,FFF000,0,CO
0AC005,0AC005,1,0AC005,FFFFFF,1,CO
0AC036,0AC036,1,0AC036,FFFFFF,1,CO
0AC03B,0AC03B,1,0AC03B,FFFFFF,1,CO
0AC066,0AC066,1,0AC066,FFFFFF,1,CO
0AC067,0AC067,1,0AC067,FFFFFF,1,CO
0AC071,0AC071,1,0AC071,FFFFFF,1,CO
0AC10C,0AC10C,1,0AC10C,FFFFFF,1,CO
0AE000,0AEFFF,4096,0AE000,FFF000,0,CR
0B0000,0B0FFF,4096,0B0000,FFF000,0,CU
0B2000,0B2FFF,4096,0B2000,FFF000,0,SV
0B4000,0B4FFF,4096,0B4000,FFF000,0,GT
0B6000,0B6FFF,4096,0B6000,FFF000,0,GY
0B8000,0B8FFF,4096,0B8000,FFF000,0,HT
0BA000,0BAFFF,4096,0BA000,FFF000,0,HN
0BC000,0BC3FF,1024,0BC000,FFFC00,0,VC
0BE000,0BEFFF,4096,0BE000,FFF000,0,JM
0C0000,0C0FFF,4096,0C0000,FFF000,0,NI
0C2000,0C2FFF,4096,0C2000,FFF000,0,PA
0C204E,0C204E,1,0C204E,FFFFFF,1,PA
0C4000,0C4FFF,4096,0C4000,FFF000,0,DO
0C6000,0C6FFF,4096,0C6000,FFF000,0,TT
0C8000,0C8FFF,4096,0C8000,FFF000,0,SR
0CA000,0CA3FF,1024,0CA000,FFFC00,0,AG
0CC000,0CC3FF,1024,0CC000,FFFC00,0,GD
0D0000,0D7FFF,32768,0D0000,FF8000,0,MX
0D001B,0D001B,1,0D001B,FFFFFF,1,MX
0D003F,0D003F,1,0D003F,FFFFFF,1,MX
0D0045,0D0045,1,0D0045,FFFFFF,1,MX
0D005A,0D005A,1,0D005A,FFFFFF,1,MX
0D01BA,0D01BA,1,0D01BA,FFFFFF,1,MX
0D02B9,0D02B9,1,0D02B9,FFFFFF,1,MX
0D04C2,0D04C2,1,0D04C2,FFFFFF,1,MX
0D0546,0D0546,1,0D0546,FFFFFF,1,MX
0D0547,0D0547,1,0D0547,FFFFFF,1,MX
0D0615,0D0615,1,0D0615,FFFFFF,1,MX
0D064D,0D064D,1,0D064D,FFFFFF,1,MX
0D064F,0D064F,1,0D064F,FFFFFF,1,MX
0D8000,0DFFFF,32768,0D8000,FF8000,0,VE
0D8032,0D8032,1,0D8032,FFFFFF,1,VE
0D8060,0D8060,1,0D8060,FFFFFF,1,VE
0D806C,0D806C,1,0D806C,FFFFFF,1,VE
100000,1FFFFF,1048576,100000,F00000,0,RU
201000,2013FF,1024,201000,FFFC00,0,NA
202000,2023FF,1024,202000,FFFC00,0,ER
300000,33FFFF,262144,300000,FC0000,0,IT
300500,300500,1,300500,FFFFFF,1,IT
320007,320007,1,320007,FFFFFF,1,IT
33FE77,33FE77,1,33FE77,FFFFFF,1,IT
33FE7A,33FE7A,1,33FE7A,FFFFFF,1,IT
33FE7D,33FE7D,1,33FE7D,FFFFFF,1,IT
33FE92,33FE92,1,33FE92,FFFFFF,1,IT
33FE9D,33FE9D,1,33FE9D,FFFFFF,1,IT
33FEC9,33FEC9,1,33FEC9,FFFFFF,1,IT
33FF00,33FFFF,256,33FF00,FFFF00,1,IT
340000,37FFFF,262144,340000,FC0000,0,ES
34118B,34118B,1,34118B,FFFFFF,1,ES
3411C2,3411C2,1,3411C2,FFFFFF,1,ES
341517,341517,1,341517,FFFFFF,1,ES
341518,341518,1,341518,FFFFFF,1,ES
341581,341581,1,341581,FFFFFF,1,ES
341589,341589,1,341589,FFFFFF,1,ES
34158A,34158A,1,34158A,FFFFFF,1,ES
34158B,34158B,1,34158B,FFFFFF,1,ES
34205A,34205A,1,34205A,FFFFFF,1,ES
342084,342084,1,342084,FFFFFF,1,ES
342199,342199,1,342199,FFFFFF,1,ES
342490,342490,1,342490,FFFFFF,1,ES
3425CB,3425CB,1,3425CB,FFFFFF,1,ES
3425D6,3425D6,1,3425D6,FFFFFF,1,ES
34264F,34264F,1,34264F,FFFFFF,1,ES
342693,342693,1,342693,FFFFFF,1,ES
342694,342694,1,342694,FFFFFF,1,ES
342695,342695,1,342695,FFFFFF,1,ES
342697,342697,1,342697,FFFFFF,1,ES
343083,343083,1,343083,FFFFFF,1,ES
343084,343084,1,343084,FFFFFF,1,ES
343085,343085,1,343085,FFFFFF,1,ES
343086,343086,1,343086,FFFFFF,1,ES
343087,343087,1,343087,FFFFFF,1,ES
34308A,34308A,1,34308A,FFFFFF,1,ES
34308C,34308C,1,34308C,FFFFFF,1,ES
34308D,34308D,1,34308D,FFFFFF,1,ES
3430D8,3430D8,1,3430D8,FFFFFF,1,ES
3432CE,3432CE,1,3432CE,FFFFFF,1,ES
34338A,34338A,1,34338A,FFFFFF,1,ES
34338B,34338B,1,34338B,FFFFFF,1,ES
350000,35FFFF,65536,350000,FF0000,1,ES
360000,37FFFF,131072,360000,FE0000,1,ES
380000,3BFFFF,262144,380000,FC0000,0,FR
38025B,38025B,1,38025B,FFFFFF,1,FR
380D1B,380D1B,1,380D1B,FFFFFF,1,FR
380D3B,380D3B,1,380D3B,FFFFFF,1,FR
381BBB,381BBB,1,381BBB,FFFFFF,1,FR
381C3B,381C3B,1,381C3B,FFFFFF,1,FR
381E3B,381E3B,1,381E3B,FFFFFF,1,FR
381E7B,381E7B,1,381E7B,FFFFFF,1,FR
38203B,38203B,1,38203B,FFFFFF,1,IT
39A840,39A840,1,39A840,FFFFFF,1,FR
39A847,39A847,1,39A847,FFFFFF,1,FR
39A848,39A848,1,39A848,FFFFFF,1,FR
39A84D,39A84D,1,39A84D,FFFFFF,1,FR
39A84F,39A84F,1,39A84F,FFFFFF,1,FR
39A851,39A851,1,39A851,FFFFFF,1,FR
39A855,39A855,1,39A855,FFFFFF,1,FR
39A857,39A857,1,39A857,FFFFFF,1,FR
3A8000,3AFFFF,32768,3A8000,FF8000,1,FR
3B0000,3BFFFF,65536,3B0000,FF0000,1,FR
3C0000,3FFFFF,262144,3C0000,FC0000,0,DE
3E8000,3EBFFF,16384,3E8000,FFC000,1,DE
3F4000,3F7FFF,16384,3F4000,FFC000,1,DE
3F8000,3FBFFF,16384,3F8000,FFC000,1,DE
400000,43FFFF,262144,400000,FC0000,0,GB
400000,40003F,64,400000,FFFFC0,1,GB
400040,40007F,64,400040,FFFFC0,0,KY
400080,4000FF,128,400080,FFFF80,0,BM
400080,400087,8,400080,FFFFF8,0,KY
400088,40008B,4,400088,FFFFFC,0,KY
4000C0,4000CF,16,4000C0,FFFFF0,0,KY
4000D0,4000D7,8,4000D0,FFFFF8,0,KY
400100,40017F,128,400100,FFFF80,0,BM
400180,4001BF,64,400180,FFFFC0,0,BM
4001C0,4001FF,64,4001C0,FFFFC0,0,KY
400EA8,400EA8,1,400EA8,FFFFFF,1,GB
400ED0,400ED0,1,400ED0,FFFFFF,1,GB
4060D6,4060D6,1,4060D6,FFFFFF,1,GB
424000,4240FF,256,424000,FFFF00,0,BM
424100,42411F,32,424100,FFFFE0,0,BM
424120,42412F,16,424120,FFFFF0,0,BM
424130,424133,4,424130,FFFFFC,0,BM
424134,424137,4,424134,FFFFFC,0,KY
424138,42413F,8,424138,FFFFF8,0,KY
424140,42417F,64,424140,FFFFC0,0,KY
424180,42419F,32,424180,FFFFE0,0,KY
4241A0,4241BF,32,4241A0,FFFFE0,0,KY
4241C0,4241DF,32,4241C0,FFFFE0,0,KY
4241E0,4241EF,16,4241E0,FFFFF0,0,KY
4241F4,4241F4,1,4241F4,FFFFFF,0,FK
4241F5,4241F5,1,4241F5,FFFFFF,0,FK
4241F6,4241F6,1,4241F6,FFFFFF,0,FK
4241F7,4241F7,1,4241F7,FFFFFF,0,FK
424230,42423F,16,424230,FFFFF0,0,BM
424240,42427F,64,424240,FFFFC0,0,BM
424280,4242FF,128,424280,FFFF80,0,BM
424500,4245FF,256,424500,FFFF00,0,BM
4245BA,4245BA,1,4245BA,FFFFFF,0,MS
424600,42461F,32,424600,FFFFE0,0,BM
4248D8,4248DF,8,4248D8,FFFFF8,0,BM
4248E0,4248FF,32,4248E0,FFFFE0,0,BM
424900,4249FF,256,424900,FFFF00,0,BM
424A00,424A0F,16,424A00,FFFFF0,0,BM
43BE5B,43BE5B,1,43BE5B,FFFFFF,0,FK
43BE80,43BE9F,32,43BE80,FFFFE0,0,BM
43C000,43FFFF,16384,43C000,FFC000,1,GB
43E716,43E717,2,43E716,FFFFFE,0,IM
43E718,43E71F,8,43E718,FFFFF8,0,IM
43E720,43E73F,32,43E720,FFFFE0,0,IM
43E740,43E77F,64,43E740,FFFFC0,0,IM
43E780,43E7FF,128,43E780,FFFF80,0,IM
43E800,43E9FF,512,43E800,FFFE00,0,IM
43EA00,43EAFF,256,43EA00,FFFF00,0,IM
43EAFE,43EAFF,2,43EAFE,FFFFFE,0,GG
43EB00,43EB3F,64,43EB00,FFFFC0,0,GG
43EB40,43EB5F,32,43EB40,FFFFE0,0,GG
43EB60,43EB61,2,43EB60,FFFFFE,0,GG
440000,447FFF,32768,440000,FF8000,0,AT
444000,447FFF,16384,444000,FFC000,1,AT
448000,44FFFF,32768,448000,FF8000,0,BE
44C1E1,44C1E1,1,44C1E1,FFFFFF,1,BE
44C1E3,44C1E3,1,44C1E3,FFFFFF,1,BE
44C1E4,44C1E4,1,44C1E4,FFFFFF,1,BE
44C1E5,44C1E5,1,44C1E5,FFFFFF,1,BE
44C1E7,44C1E7,1,44C1E7,FFFFFF,1,BE
44C1E8,44C1E8,1,44C1E8,FFFFFF,1,BE
44ED81,44ED81,1,44ED81,FFFFFF,1,BE
44ED82,44ED82,1,44ED82,FFFFFF,1,BE
44ED83,44ED83,1,44ED83,FFFFFF,1,BE
44F000,44FFFF,4096,44F000,FFF000,1,BE
450000,457FFF,32768,450000,FF8000,0,BG
457000,457FFF,4096,457000,FFF000,1,BG
458000,45FFFF,32768,458000,FF8000,0,DK
45F400,45F4FF,256,45F400,FFFF00,1,DK
460000,467FFF,32768,460000,FF8000,0,FI
467800,4678FF,256,467800,FFFF00,1,FI
468000,46FFFF,32768,468000,FF8000,0,GR
468000,4683FF,1024,468000,FFFC00,1,GR
46A091,46A091,1,46A091,FFFFFF,1,GR
46A093,46A093,1,46A093,FFFFFF,1,GR
46A095,46A095,1,46A095,FFFFFF,1,GR
46F592,46F593,2,46F592,FFFFFE,1,GR
470000,477FFF,32768,470000,FF8000,0,HU
473C00,473C0F,16,473C00,FFFFF0,1,HU
477FF0,477FFF,16,477FF0,FFFFF0,1,HU
477FF1,477FF1,1,477FF1,FFFFFF,1,XB
477FF2,477FF2,1,477FF2,FFFFFF,1,XB
477FF3,477FF3,1,477FF3,FFFFFF,1,XB
478000,47FFFF,32768,478000,FF8000,0,NO
4780C6,4780C7,2,4780C6,FFFFFE,1,NO
4780C8,4780CF,8,4780C8,FFFFF8,1,NO
4780D0,4780DF,16,4780D0,FFFFF0,1,NO
4780E0,4780FF,32,4780E0,FFFFE0,1,NO
478100,4781FF,256,478100,FFFF00,1,NO
480000,487FFF,32768,480000,FF8000,0,NL
480000,480FFF,4096,480000,FFF000,1,NL
484074,484074,1,484074,FFFFFF,0,AW
484080,484080,1,484080,FFFFFF,0,XC
484081,484081,1,484081,FFFFFF,0,XC
484089,484089,1,484089,FFFFFF,0,XC
48408B,48408B,1,48408B,FFFFFF,0,XC
484090,484090,1,484090,FFFFFF,0,XC
484094,484094,1,484094,FFFFFF,0,XC
484095,484095,1,484095,FFFFFF,0,XC
484096,484096,1,484096,FFFFFF,0,XC
4840A4,4840A4,1,4840A4,FFFFFF,0,XC
4840A5,4840A5,1,4840A5,FFFFFF,0,XC
4840C6,4840C6,1,4840C6,FFFFFF,0,AW
4840DE,4840DE,1,4840DE,FFFFFF,0,AW
4840EA,4840EA,1,4840EA,FFFFFF,0,AW
4840FB,4840FB,1,4840FB,FFFFFF,0,AW
484107,484107,1,484107,FFFFFF,0,AW
48410F,48410F,1,48410F,FFFFFF,0,XC
484111,484111,1,484111,FFFFFF,0,XC
484112,484112,1,484112,FFFFFF,0,XC
484118,484118,1,484118,FFFFFF,0,AW
48411A,48411A,1,48411A,FFFFFF,0,AW
48411B,48411B,1,48411B,FFFFFF,0,AW
48411C,48411C,1,48411C,FFFFFF,0,AW
48411D,48411D,1,48411D,FFFFFF,0,AW
48411E,48411E,1,48411E,FFFFFF,0,AW
48411F,48411F,1,48411F,FFFFFF,0,AW
484120,484120,1,484120,FFFFFF,0,AW
484121,484121,1,484121,FFFFFF,0,AW
484123,484123,1,484123,FFFFFF,0,AW
484124,484124,1,484124,FFFFFF,0,AW
484126,484126,1,484126,FFFFFF,0,AW
484127,484127,1,484127,FFFFFF,0,AW
484128,484128,1,484128,FFFFFF,0,AW
48412A,48412A,1,48412A,FFFFFF,0,AW
48412C,48412C,1,48412C,FFFFFF,0,AW
48412E,48412E,1,48412E,FFFFFF,0,AW
48412F,48412F,1,48412F,FFFFFF,0,AW
484334,484334,1,484334,FFFFFF,0,AW
484335,484335,1,484335,FFFFFF,0,AW
484337,484337,1,484337,FFFFFF,0,AW
484339,484339,1,484339,FFFFFF,0,AW
48433A,48433A,1,48433A,FFFFFF,0,AW
48433D,48433D,1,48433D,FFFFFF,0,AW
48433E,48433E,1,48433E,FFFFFF,0,AW
48433E,48433E,1,48433E,FFFFFF,0,AW
484340,484340,1,484340,FFFFFF,0,AW
484344,484344,1,484344,FFFFFF,0,AW
484346,484346,1,484346,FFFFFF,0,AW
48434B,48434B,1,48434B,FFFFFF,0,AW
48434C,48434C,1,48434C,FFFFFF,0,AW
48434E,48434E,1,48434E,FFFFFF,0,AW
48434F,48434F,1,48434F,FFFFFF,0,AW
484350,484350,1,484350,FFFFFF,0,AW
484351,484351,1,484351,FFFFFF,0,AW
484352,484352,1,484352,FFFFFF,0,AW
484353,484353,1,484353,FFFFFF,0,AW
484354,484354,1,484354,FFFFFF,0,AW
484355,484355,1,484355,FFFFFF,0,AW
484356,484356,1,484356,FFFFFF,0,AW
484358,484358,1,484358,FFFFFF,0,AW
484359,484359,1,484359,FFFFFF,0,AW
48435B,48435B,1,48435B,FFFFFF,0,AW
48435C,48435C,1,48435C,FFFFFF,0,AW
48435D,48435D,1,48435D,FFFFFF,0,AW
48435E,48435E,1,48435E,FFFFFF,0,AW
48435F,48435F,1,48435F,FFFFFF,0,AW
484360,484360,1,484360,FFFFFF,0,AW
484361,484361,1,484361,FFFFFF,0,AW
484362,484362,1,484362,FFFFFF,0,AW
484363,484363,1,484363,FFFFFF,0,AW
48448C,48448C,1,48448C,FFFFFF,0,AW
48448D,48448D,1,48448D,FFFFFF,0,AW
48448E,48448E,1,48448E,FFFFFF,0,AW
48448F,48448F,1,48448F,FFFFFF,0,AW
484490,484490,1,484490,FFFFFF,0,AW
484491,484491,1,484491,FFFFFF,0,AW
484492,484492,1,484492,FFFFFF,0,AW
484493,484493,1,484493,FFFFFF,0,AW
484494,484494,1,484494,FFFFFF,0,AW
484495,484495,1,484495,FFFFFF,0,AW
484496,484496,1,484496,FFFFFF,0,AW
484499,484499,1,484499,FFFFFF,0,AW
48449B,48449B,1,48449B,FFFFFF,0,AW
48449C,48449C,1,48449C,FFFFFF,0,AW
48449D,48449D,1,48449D,FFFFFF,0,AW
4844A0,4844A0,1,4844A0,FFFFFF,0,AW
4844A1,4844A1,1,4844A1,FFFFFF,0,AW
